loan_id,customer_name,branch_code,loan_type,disbursement_date,principal_amount,interest_rate,tenure_months,emi_amount,emi_paid_count,status,overdue_days
HFL202400001,Customer_1,HYD06,TOP_UP,2024-10-16,823256.02,12.21,120,11911.49,94,OPEN,0
HFL202400002,Customer_2,MUM01,TOP_UP,2024-03-08,449378.59,8.97,120,5685.24,91,OPEN,0
HFL202400003,Customer_3,PUN02,LAP,2024-03-05,1336070.92,11.45,60,29350.16,21,CLOSED,0
HFL202500004,Customer_4,DEL03,HOME_LOAN,2025-02-20,1881994.36,8.96,60,39030.58,51,OPEN,0
HFL202400005,Customer_5,HYD06,LAP,2024-07-03,886682.97,13.11,60,20224.73,55,CLOSED,0
HFL202400006,Customer_6,PUN02,LAP,2024-12-22,626909.2,11.81,180,7447.5,97,WRITTEN_OFF,0
HFL202500007,Customer_7,HYD06,HOME_LOAN,2025-05-04,2014711.24,10.35,120,27016.57,82,CLOSED,0
HFL202300008,Customer_8,HYD06,TOP_UP,2023-06-25,2810457.42,9.72,240,26602.22,56,OPEN,0
HFL202500009,Customer_9,DEL03,TOP_UP,2025-02-25,3947199.58,9.65,60,83188.18,58,OVERDUE,103
HFL202300010,Customer_10,PUN02,TOP_UP,2023-11-19,1299344.76,11.0,240,13411.69,143,OPEN,0
HFL202400011,Customer_11,PUN02,HOME_LOAN,2024-08-21,2313638.99,11.42,180,26910.14,23,OPEN,0
HFL202300012,Customer_12,BLR04,TOP_UP,2023-06-06,3248996.4,12.46,240,36821.59,119,CLOSED,0
HFL202400013,Customer_13,CHN05,TOP_UP,2024-07-20,4345664.6,8.56,60,89283.68,49,CLOSED,0
HFL202300014,Customer_14,PUN02,TOP_UP,2023-10-28,2343396.68,10.77,180,26297.51,27,WRITTEN_OFF,0
HFL202400015,Customer_15,CHN05,HOME_LOAN,2024-10-16,2686015.55,9.49,180,28031.83,135,CLOSED,0
HFL202400016,Customer_16,PUN02,HOME_LOAN,2024-05-15,391540.69,13.15,180,4992.65,20,OPEN,0
HFL202500017,Customer_17,BLR04,LAP,2025-04-15,625298.84,12.3,120,9080.0,21,OPEN,0
HFL202400018,Customer_18,BLR04,LAP,2024-09-13,2288748.32,9.56,120,29691.08,83,CLOSED,0
HFL202400019,Customer_19,CHN05,HOME_LOAN,2024-06-13,,9.74,60,51150.72,37,OPEN,0
HFL202400020,Customer_20,CHN05,LAP,2024-12-25,3266183.9,9.64,60,68819.62,42,OVERDUE,19
HFL202300021,Customer_21,BLR04,HOME_LOAN,2023-05-16,3699757.06,12.91,240,43108.46,48,OPEN,0
HFL202400022,Customer_22,HYD06,TOP_UP,2024-03-17,1965198.56,10.56,60,42298.22,25,CLOSED,0
HFL202500023,Customer_23,PUN02,HOME_LOAN,2025-06-01,813564.45,9.46,240,7562.25,63,OPEN,0
HFL202500024,Customer_24,PUN02,LAP,2025-06-01,4323044.39,8.99,60,89718.31,31,WRITTEN_OFF,0
