loan_id,customer_name,branch_code,loan_type,disbursement_date,principal_amount,interest_rate,tenure_months,emi_amount,emi_paid_count,status,overdue_days,problem,disbursement_date_raw,is_missing_principal
HFL202400019,Customer_19,CHN05,HOME_LOAN,2024-06-13,,9.74,60,51150.72,37,OPEN,0,missing_principal_amount,2024-06-13,True
HFL202300129,Customer_129,MUM01,TOP_UP,,2329819.64,12.22,180,28292.35,143,OVERDUE,143,invalid_disbursement_date,31-02-2023,False
HFL202500164,Customer_164,DEL03,TOP_UP,,3616020.02,10.74,60,78152.98,9,OVERDUE,5,invalid_disbursement_date,31-02-2023,False
HFL202400249,Customer_249,MUM01,LAP,2024-10-15,,11.58,240,36807.96,141,CLOSED,0,missing_principal_amount,2024-10-15,True
HFL202400314,Customer_314,HYD06,HOME_LOAN,2024-03-20,,11.56,60,18612.23,11,OPEN,0,missing_principal_amount,2024-03-20,True
HFL202400332,Customer_332,MUM01,HOME_LOAN,2024-02-19,,11.28,120,60147.75,17,OPEN,0,missing_principal_amount,2024-02-19,True
HFL202400394,Customer_394,PUN02,LAP,2024-12-04,,10.21,240,48740.48,232,OPEN,0,missing_principal_amount,2024-12-04,True
HFL202300397,Customer_397,PUN02,TOP_UP,2023-04-29,,10.4,180,24829.4,175,OPEN,0,missing_principal_amount,2023-04-29,True
HFL202300481,Customer_481,HYD06,TOP_UP,2023-02-04,,11.05,120,55000.84,30,CLOSED,0,missing_principal_amount,2023-02-04,True
HFL202300482,Customer_482,BLR04,TOP_UP,2023-06-11,,9.88,240,6777.7,51,OPEN,0,missing_principal_amount,2023-06-11,True
HFL202500511,Customer_511,BLR04,LAP,2025-05-18,,9.93,60,19952.85,30,CLOSED,0,missing_principal_amount,2025-05-18,True
HFL202400558,Customer_558,CHN05,LAP,,2935231.44,12.06,60,65381.63,31,OPEN,0,invalid_disbursement_date,31-02-2023,False
HFL202300616,Customer_616,MUM01,HOME_LOAN,2023-12-19,,11.41,240,52527.86,140,OVERDUE,76,missing_principal_amount,2023-12-19,True
HFL202400637,Customer_637,MUM01,HOME_LOAN,2024-06-16,,11.95,120,27001.43,106,OPEN,0,missing_principal_amount,2024-06-16,True
HFL202400644,Customer_644,MUM01,LAP,2024-10-20,,10.71,180,8940.62,64,OPEN,0,missing_principal_amount,2024-10-20,True
HFL202400658,Customer_658,HYD06,HOME_LOAN,2024-01-14,,10.69,60,62627.56,49,OPEN,0,missing_principal_amount,2024-01-14,True
HFL202500714,Customer_714,DEL03,TOP_UP,2025-03-23,,11.47,240,36199.08,77,OPEN,0,missing_principal_amount,2025-03-23,True
